waiting
6; 1; 6
7; 1; 14
0; 1; 17
1; 1; 26
0; 2; 38
3; 1; 40
3; 2; 43
0; 3; 54
1; 2; 58
3; 3; 60
0; 4; 72
0; 5; 91
6; 2; 94
0; 6; 103
1; 3; 106
0; 7; 114
1; 4; 126
0; 8; 134
3; 4; 141
0; 9; 149
0; 10; 168
3; 5; 176
0; 11; 187
0; 12; 205
0; 13; 219
0; 14; 239
9; 1; 247
0; 15; 260
0; 16; 270
0; 17; 285
0; 18; 302
0; 19; 321
0; 20; 344
0; 21; 364
5; 1; 381
0; 22; 382
0; 23; 399
5; 2; 412
0; 24; 416
0; 25; 432
0; 26; 442
0; 27; 458
0; 28; 472
0; 29; 488
0; 30; 506
0; 31; 518
0; 32; 530
0; 33; 547
0; 34; 562
0; 35; 582
0; 36; 599
0; 37; 618
0; 38; 634
0; 39; 649
0; 40; 665
0; 41; 681
0; 42; 696
0; 43; 714
0; 44; 729
6; 3; 739
0; 45; 746
6; 4; 764
0; 46; 765
0; 47; 781
6; 5; 787
0; 48; 800
0; 49; 811
6; 6; 825
0; 50; 826
7; 2; 833
0; 51; 836
6; 7; 850
0; 52; 852
0; 53; 866
0; 54; 883
0; 55; 900
0; 56; 917
0; 57; 936
8; 1; 940
0; 58; 957
0; 59; 972
0; 60; 991
0; 61; 1010
0; 62; 1027
0; 63; 1048
0; 64; 1063
0; 65; 1075
0; 66; 1091
0; 67; 1109
0; 68; 1128
0; 69; 1141
0; 70; 1157
0; 71; 1168
0; 72; 1181
0; 73; 1195
0; 74; 1213
0; 75; 1232
0; 76; 1250
0; 77; 1267
0; 78; 1284
0; 79; 1301
0; 80; 1313
0; 81; 1331
0; 82; 1341
0; 83; 1359
0; 84; 1372
7; 3; 1388
0; 85; 1388
0; 86; 1406
0; 87; 1426
0; 88; 1436
0; 89; 1451
0; 90; 1464
0; 91; 1477
0; 92; 1490
0; 93; 1506
0; 94; 1522
0; 95; 1542
0; 96; 1559
0; 97; 1574
0; 98; 1587
0; 99; 1605
0; 100; 1622
Ghosts #0; Agents Time: 1622
a3 ghosts #0: 1.0
5; 3; 1705
7; 4; 1810
9; 2; 1906
9; 3; 1921
5; 4; 1982
3; 6; 2021
7; 5; 2034
7; 6; 2037
7; 7; 2057
7; 8; 2070
9; 4; 2211
6; 8; 2292
2; 1; 2415
2; 2; 2431
2; 3; 2473
7; 9; 2486
2; 4; 2509
2; 5; 2562
6; 9; 2585
9; 5; 2859
9; 6; 2872
9; 7; 2981
9; 8; 3006
9; 9; 3014
9; 10; 3041
8; 2; 3151
3; 7; 3220
3; 8; 3265
8; 3; 3281
9; 11; 3288
8; 4; 3300
9; 12; 3302
9; 13; 3305
9; 14; 3350
9; 15; 3401
9; 16; 3415
7; 10; 3534
9; 17; 3724
9; 18; 3740
9; 19; 3745
5; 5; 3752
9; 20; 3754
7; 11; 3925
9; 21; 4377
9; 22; 4386
9; 23; 4397
5; 6; 4463
6; 10; 4665
6; 11; 4771
7; 12; 4797
9; 24; 4829
9; 25; 4831
9; 26; 4851
8; 5; 4884
9; 27; 4900
9; 28; 5134
6; 12; 5180
9; 29; 5502
7; 13; 5580
8; 6; 5660
7; 14; 5686
8; 7; 5716
7; 15; 5722
7; 16; 5729
7; 17; 5730
7; 18; 5738
8; 8; 5745
8; 9; 5748
7; 19; 5880
9; 30; 6325
9; 31; 6387
9; 32; 6403
7; 20; 6538
7; 21; 6545
7; 22; 6552
7; 23; 6563
6; 13; 6877
6; 14; 7105
6; 15; 7116
6; 16; 7163
